pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
133.7975,-130.5175,-90.0,top,R45,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
132.3275,-130.5175,-90.0,top,R46,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
136.7375,-130.5175,-90.0,top,R47,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
135.2775,-130.5175,-90.0,top,R48,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
137.465,-126.75,0.0,top,R49,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
127.28,-106.22,-90.0,top,R5,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
137.465,-128.26,0.0,top,R50,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
137.465,-123.8,0.0,top,R51,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
137.465,-125.29,0.0,top,R52,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
135.5675,-121.54,90.0,top,R53,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
137.0975,-121.54,90.0,top,R54,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
132.6175,-121.54,90.0,top,R55,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
134.0875,-121.54,90.0,top,R56,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
129.69,-121.53,90.0,top,R57,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
131.1575,-121.54,90.0,top,R58,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
64.35,-140.28,0.0,top,R59,10k 0603,,R_0603_1608Metric,10kΩ,smt
125.76,-106.22,-90.0,top,R6,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
83.456667,-140.28,0.0,top,R60,10k 0603,,R_0603_1608Metric,10kΩ,smt
130.26,-106.22,-90.0,top,R7,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
102.563333,-140.28,0.0,top,R77,10k 0603,,R_0603_1608Metric,10kΩ,smt
121.67,-140.28,0.0,top,R78,10k 0603,,R_0603_1608Metric,10kΩ,smt
128.78,-106.22,-90.0,top,R8,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
133.24,-106.22,-90.0,top,R9,2.2k 0603,,R_0603_1608Metric,2.2kΩ,smt
104.0,-84.87,180.0,top,R95,47k 0603,,R_0603_1608Metric,47kΩ,smt
104.0,-87.82,180.0,top,R96,47k 0603,,R_0603_1608Metric,47kΩ,smt
104.0,-86.36,180.0,top,R97,47k 0603,,R_0603_1608Metric,47kΩ,smt
104.0,-82.97,180.0,top,R98,47k 0603,,R_0603_1608Metric,47kΩ,smt
103.99,-81.49,180.0,top,R99,47k 0603,,R_0603_1608Metric,47kΩ,smt
106.99,-82.25,0.0,top,SW1,DNP,,SW_PUSH_6mm,SW_Push,tht
